"Carimbo de data/hora","Qual curso técnico você está fazendo?","Em qual ano do técnico você está?","Qual seu gênero?","Onde e com quem você mora atualmente?","Você possui renda pessoal?","Marque as características que considera possuir:","Um bom empreendimento é definido pelo sucesso rápido. ","Você precisa ter um plano de negócios formal para começar uma empresa.","Só empreende quem tem ideias únicas.","Para um novo empreendedor, não é necessário ter muito dinheiro.","Dividir suas ideias é importante para obter sucesso.","O empreendedor corre riscos sem planejamento."
"2019/04/10 11:42:06 da manhã GMT-3","Técnico em Química","1º Ano","Mulher","Em casa ou apartamento, com outras pessoas (incluindo república).","Não","Busca por informações","Mito","Verdade","Mito","Mito","Verdade","Verdade"
"2019/04/10 11:58:01 da manhã GMT-3","Técnico em Química","3º Ano","Mulher","Em casa ou apartamento, com pais e/ou parentes.","Sim","Visão para as oportunidades;Cautela para tomar decisões;Perfeccionista;Persistência;Comprometimento;Busca por informações;Foco;Organização;Liderança;Autoconfiança","Mito","Mito","Mito","Verdade","Verdade","Verdade"
"2019/04/10 12:06:24 da tarde GMT-3","Técnico em Química","1º Ano","Mulher","Em casa ou apartamento, com pais e/ou parentes.","Sim","Visão para as oportunidades;Cautela para tomar decisões;Persistência;Comprometimento;Busca por informações;Foco;Organização;Autoconfiança","Mito","Verdade","Mito","Verdade","Verdade","Verdade"
"2019/04/10 12:25:35 da tarde GMT-3","Técnico em Informática","3º Ano","Homem","Em casa ou apartamento, com pais e/ou parentes.","Não","Cautela para tomar decisões;Comprometimento;Busca por informações;Organização","Mito","Verdade","Mito","Mito","Verdade","Verdade"
"2019/04/10 12:32:22 da tarde GMT-3","Técnico em Química","3º Ano","Outro","Em casa ou apartamento, com pais e/ou parentes.","Não","Visão para as oportunidades;Persistência;Busca por informações","Mito","Verdade","Mito","Verdade","Verdade","Verdade"
"2019/04/10 12:56:46 da tarde GMT-3","Técnico em Informática","3º Ano","Mulher","Em casa ou apartamento, com pais e/ou parentes.","Não","Liderança","Mito","Verdade","Mito","Verdade","Verdade","Verdade"
"2019/04/10 12:57:24 da tarde GMT-3","Técnico em Informática","3º Ano","Mulher","Em casa ou apartamento, com pais e/ou parentes.","Sim","Cautela para tomar decisões","Mito","Mito","Mito","Verdade","Verdade","Verdade"
"2019/04/10 12:58:45 da tarde GMT-3","Técnico em Informática","3º Ano","Homem","Em casa ou apartamento, com pais e/ou parentes.","Sim","Persistência;Comprometimento;Busca por informações","Verdade","Mito","Mito","Verdade","Verdade","Verdade"
"2019/04/10 1:00:49 da tarde GMT-3","Técnico em Química","3º Ano","Homem","Em casa ou apartamento, sozinho.","Não","Visão para as oportunidades;Cautela para tomar decisões;Perfeccionista;Persistência;Comprometimento;Busca por informações;Foco;Organização;Liderança","Mito","Mito","Verdade","Verdade","Mito","Mito"
"2019/04/10 1:05:50 da tarde GMT-3","Técnico em Química","1º Ano","Mulher","Em casa ou apartamento, com pais e/ou parentes.","Não","Visão para as oportunidades;Cautela para tomar decisões;Persistência;Comprometimento;Busca por informações;Foco;Autoconfiança","Mito","Mito","Mito","Verdade","Verdade","Verdade"
"2019/04/10 1:12:24 da tarde GMT-3","Técnico em Informática","1º Ano","Mulher","Em casa ou apartamento, com pais e/ou parentes.","Não","Visão para as oportunidades;Cautela para tomar decisões;Busca por informações","Mito","Verdade","Mito","Verdade","Verdade","Verdade"
"2019/04/10 1:22:33 da tarde GMT-3","Técnico em Informática","1º Ano","Homem","Em casa ou apartamento, com pais e/ou parentes.","Não","Visão para as oportunidades;Cautela para tomar decisões;Persistência;Busca por informações","Mito","Verdade","Mito","Verdade","Verdade","Verdade"
"2019/04/10 1:23:49 da tarde GMT-3","Técnico em Química","3º Ano","Homem","Em casa ou apartamento, com pais e/ou parentes.","Não","Visão para as oportunidades;Cautela para tomar decisões;Persistência;Comprometimento;Busca por informações;Foco;Liderança;Autoconfiança","Mito","Mito","Mito","Mito","Mito","Verdade"
"2019/04/10 1:54:19 da tarde GMT-3","Técnico em Química","1º Ano","Homem","Em casa ou apartamento, com outras pessoas (incluindo república).","Não","Perfeccionista","Mito","Verdade","Mito","Verdade","Verdade","Verdade"
"2019/04/10 2:30:33 da tarde GMT-3","Técnico em Informática","2 º Ano","Homem","Em casa ou apartamento, com pais e/ou parentes.","Sim","Visão para as oportunidades;Cautela para tomar decisões;Perfeccionista;Persistência;Comprometimento;Busca por informações;Foco;Liderança;Autoconfiança","Mito","Verdade","Mito","Verdade","Mito","Verdade"
"2019/04/10 2:30:34 da tarde GMT-3","Técnico em Informática","2 º Ano","Homem","Em casa ou apartamento, com pais e/ou parentes.","Não","Autoconfiança","Mito","Mito","Mito","Verdade","Mito","Verdade"
"2019/04/10 2:43:18 da tarde GMT-3","Técnico em Informática","2 º Ano","Mulher","Em casa ou apartamento, com pais e/ou parentes.","Não","Visão para as oportunidades","Mito","Mito","Mito","Mito","Verdade","Verdade"
"2019/04/10 2:56:12 da tarde GMT-3","Técnico em Informática","1º Ano","Homem","Em casa ou apartamento, com pais e/ou parentes.","Não","Cautela para tomar decisões;Perfeccionista;Organização;Liderança","Mito","Verdade","Mito","Verdade","Mito","Verdade"
"2019/04/10 2:59:48 da tarde GMT-3","Técnico em Informática","1º Ano","Mulher","Em casa ou apartamento, com pais e/ou parentes.","Não","Comprometimento","Mito","Verdade","Mito","Mito","Mito","Verdade"
"2019/04/10 3:04:39 da tarde GMT-3","Técnico em Informática","1º Ano","Homem","Em casa ou apartamento, com pais e/ou parentes.","Não","Persistência","Mito","Verdade","Verdade","Verdade","Mito","Verdade"
"2019/04/10 3:06:13 da tarde GMT-3","Técnico em Informática","1º Ano","Homem","Em casa ou apartamento, com pais e/ou parentes.","Não","Visão para as oportunidades;Cautela para tomar decisões;Persistência;Comprometimento","Mito","Verdade","Verdade","Verdade","Mito","Verdade"
"2019/04/10 4:00:49 da tarde GMT-3","Técnico em Química","2 º Ano","Mulher","Em casa ou apartamento, com pais e/ou parentes.","Não","Cautela para tomar decisões;Perfeccionista;Persistência;Comprometimento;Busca por informações;Organização;Liderança","Mito","Verdade","Mito","Verdade","Verdade","Verdade"
"2019/04/10 4:03:54 da tarde GMT-3","Técnico em Química","2 º Ano","Homem","Em casa ou apartamento, com pais e/ou parentes.","Não","Visão para as oportunidades;Cautela para tomar decisões;Persistência;Comprometimento;Busca por informações;Foco;Organização;Liderança;Autoconfiança","Mito","Verdade","Mito","Verdade","Verdade","Verdade"
"2019/04/10 4:05:57 da tarde GMT-3","Técnico em Química","2 º Ano","Mulher","Em casa ou apartamento, com pais e/ou parentes.","Não","Perfeccionista;Persistência;Comprometimento;Liderança","Mito","Mito","Mito","Verdade","Verdade","Verdade"
"2019/04/10 4:13:45 da tarde GMT-3","Técnico em Química","2 º Ano","Mulher","Em casa ou apartamento, com pais e/ou parentes.","Não","Perfeccionista;Comprometimento;Organização;Liderança","Mito","Verdade","Verdade","Verdade","Mito","Verdade"
"2019/04/10 4:14:44 da tarde GMT-3","Técnico em Química","2 º Ano","Homem","Em casa ou apartamento, com pais e/ou parentes.","Não","Visão para as oportunidades;Cautela para tomar decisões;Perfeccionista;Persistência;Busca por informações;Liderança;Autoconfiança","Mito","Mito","Mito","Verdade","Verdade","Verdade"
"2019/04/10 4:50:13 da tarde GMT-3","Técnico em Informática","2 º Ano","Mulher","Em casa ou apartamento, com pais e/ou parentes.","Sim","Cautela para tomar decisões;Perfeccionista;Persistência;Comprometimento;Foco;Organização","Mito","Verdade","Mito","Verdade","Verdade","Verdade"
"2019/04/10 5:04:55 da tarde GMT-3","Técnico em Química","2 º Ano","Mulher","Em casa ou apartamento, sozinho.","Sim","Cautela para tomar decisões;Persistência;Comprometimento;Organização;Liderança","Mito","Verdade","Mito","Verdade","Verdade","Verdade"
"2019/04/10 5:44:34 da tarde GMT-3","Técnico em Química","2 º Ano","Mulher","Em casa ou apartamento, com pais e/ou parentes.","Não","Cautela para tomar decisões;Perfeccionista;Comprometimento;Busca por informações;Foco;Organização","Mito","Mito","Verdade","Verdade","Verdade","Verdade"
"2019/04/10 5:49:37 da tarde GMT-3","Técnico em Química","1º Ano","Mulher","Em casa ou apartamento, com pais e/ou parentes.","Não","Cautela para tomar decisões;Perfeccionista;Persistência;Comprometimento","Mito","Verdade","Mito","Verdade","Verdade","Verdade"
"2019/04/10 6:17:52 da tarde GMT-3","Técnico em Informática","1º Ano","Mulher","Em casa ou apartamento, com pais e/ou parentes.","Não","Visão para as oportunidades;Cautela para tomar decisões;Persistência;Liderança;Autoconfiança","Mito","Verdade","Mito","Verdade","Mito","Mito"
"2019/04/10 6:20:56 da tarde GMT-3","Técnico em Informática","2 º Ano","Mulher","Em casa ou apartamento, com pais e/ou parentes.","Não","Visão para as oportunidades;Perfeccionista;Persistência;Comprometimento;Busca por informações;Foco;Liderança;Autoconfiança","Mito","Mito","Verdade","Verdade","Verdade","Verdade"
"2019/04/10 6:26:01 da tarde GMT-3","Técnico em Química","1º Ano","Homem","Em casa ou apartamento, com pais e/ou parentes.","Não","Visão para as oportunidades;Cautela para tomar decisões;Persistência;Comprometimento;Busca por informações;Organização;Liderança;Autoconfiança","Mito","Mito","Mito","Verdade","Verdade","Verdade"
"2019/04/10 6:38:22 da tarde GMT-3","Técnico em Química","3º Ano","Mulher","Em casa ou apartamento, com pais e/ou parentes.","Não","Cautela para tomar decisões;Perfeccionista;Comprometimento;Busca por informações;Organização","Mito","Verdade","Mito","Verdade","Verdade","Verdade"
"2019/04/10 6:49:10 da tarde GMT-3","Técnico em Química","3º Ano","Mulher","Em casa ou apartamento, com pais e/ou parentes.","Não","Comprometimento;Foco;Organização;Liderança","Mito","Mito","Mito","Verdade","Verdade","Verdade"
"2019/04/10 6:52:14 da tarde GMT-3","Técnico em Química","3º Ano","Mulher","Em casa ou apartamento, com pais e/ou parentes.","Não","Visão para as oportunidades;Cautela para tomar decisões;Perfeccionista;Persistência;Comprometimento;Foco;Organização;Liderança","Mito","Mito","Verdade","Verdade","Verdade","Verdade"
"2019/04/10 6:56:42 da tarde GMT-3","Técnico em Química","3º Ano","Mulher","Em casa ou apartamento, com pais e/ou parentes.","Não","Cautela para tomar decisões;Perfeccionista;Comprometimento;Liderança","Mito","Mito","Mito","Verdade","Verdade","Verdade"
"2019/04/10 6:58:54 da tarde GMT-3","Técnico em Química","3º Ano","Mulher","Em casa ou apartamento, com pais e/ou parentes.","Não","Cautela para tomar decisões;Comprometimento;Liderança;Autoconfiança","Mito","Verdade","Verdade","Verdade","Verdade","Mito"
"2019/04/10 7:12:54 da tarde GMT-3","Técnico em Informática","3º Ano","Mulher","Em casa ou apartamento, com pais e/ou parentes.","Não","Cautela para tomar decisões;Perfeccionista;Persistência;Comprometimento;Busca por informações","Mito","Mito","Mito","Mito","Verdade","Mito"
"2019/04/10 7:31:34 da tarde GMT-3","Técnico em Química","3º Ano","Homem","Em casa ou apartamento, com pais e/ou parentes.","Não","Cautela para tomar decisões;Perfeccionista;Persistência;Comprometimento","Mito","Mito","Mito","Verdade","Verdade","Verdade"
"2019/04/10 8:00:17 da tarde GMT-3","Técnico em Química","3º Ano","Homem","Em casa ou apartamento, com outras pessoas (incluindo república).","Não","Visão para as oportunidades;Perfeccionista;Comprometimento;Busca por informações;Organização;Liderança","Mito","Mito","Mito","Mito","Verdade","Verdade"
"2019/04/10 8:09:40 da tarde GMT-3","Técnico em Química","3º Ano","Mulher","Em casa ou apartamento, com pais e/ou parentes.","Não","Visão para as oportunidades;Cautela para tomar decisões;Perfeccionista;Persistência;Comprometimento;Busca por informações;Foco;Liderança;Autoconfiança","Mito","Mito","Mito","Verdade","Verdade","Verdade"
"2019/04/10 8:17:08 da tarde GMT-3","Técnico em Informática","2 º Ano","Homem","Em casa ou apartamento, com pais e/ou parentes.","Não","Visão para as oportunidades;Cautela para tomar decisões;Persistência;Comprometimento;Foco;Liderança","Mito","Mito","Mito","Verdade","Verdade","Verdade"
"2019/04/10 9:38:47 da tarde GMT-3","Técnico em Química","3º Ano","Mulher","Em casa ou apartamento, com pais e/ou parentes.","Não","Cautela para tomar decisões;Perfeccionista;Persistência;Comprometimento;Busca por informações;Foco;Organização;Liderança","Mito","Mito","Mito","Verdade","Mito","Verdade"
"2019/04/10 11:00:32 da tarde GMT-3","Técnico em Química","3º Ano","Homem","Em casa ou apartamento, com pais e/ou parentes.","Não","Cautela para tomar decisões;Persistência;Comprometimento;Busca por informações;Foco;Organização","Mito","Mito","Mito","Verdade","Verdade","Verdade"
"2019/04/11 11:45:22 da manhã GMT-3","Técnico em Química","1º Ano","Homem","Em casa ou apartamento, com pais e/ou parentes.","Não","Visão para as oportunidades;Cautela para tomar decisões;Perfeccionista;Persistência;Comprometimento;Busca por informações;Foco;Organização;Liderança;Autoconfiança","Mito","Mito","Mito","Verdade","Verdade","Verdade"
"2019/04/11 11:49:38 da manhã GMT-3","Técnico em Química","1º Ano","Mulher","Em casa ou apartamento, com pais e/ou parentes.","Não","Perfeccionista;Persistência;Comprometimento;Busca por informações;Foco","Mito","Mito","Mito","Verdade","Verdade","Verdade"
"2019/04/15 10:56:21 da tarde GMT-3","Técnico em Química","1º Ano","Mulher","Em casa ou apartamento, com pais e/ou parentes.","Não","Cautela para tomar decisões;Persistência;Comprometimento;Busca por informações;Foco","Mito","Mito","Mito","Verdade","Mito","Mito"
